@relation lomfelder

@attribute identificador numeric
@attribute sensitivo numeric
@attribute intuitivo numeric
@attribute ativo numeric
@attribute reflexivo numeric
@attribute sequencial numeric
@attribute global numeric
@attribute visual numeric
@attribute verbal numeric
@attribute class 	{SenAtiSeqVis,SenAtiSeqVer,SenAtiGloVis,SenAtiGloVer,SenRefSeqVis,SenRefSeqVer,SenRefGloVis,SenRefGloVer,IntAtiSeqVis,IntAtiSeqVer,IntAtiGloVis,IntAtiGloVer,IntRefSeqVis,IntRefSeqVer,IntRefGloVis,IntRefGloVer}

@data
0,1,0,2,2,1,0,0,1,SenRefSeqVer
1,0,1,4,0,0,1,0,1,IntAtiGloVer
2,1,0,4,0,0,0,0,1,SenAtiGloVer
3,0,1,2,0,2,0,0,1,IntAtiSeqVer
4,1,1,2,0,0,0,2,1,SenAtiSeqVis
5,0,1,1,3,0,0,1,1,IntRefSeqVis
6,1,0,2,2,1,0,1,2,SenAtiSeqVer
7,0,1,2,0,2,0,1,0,IntAtiSeqVis
8,0,1,4,0,1,1,2,0,IntAtiGloVis
9,2,0,4,0,2,0,1,0,SenAtiSeqVis
10,0,1,2,4,1,1,0,2,IntRefSeqVer
11,0,1,0,3,1,1,2,1,IntRefGloVis
12,1,0,0,4,0,0,2,0,SenRefGloVis
13,0,1,2,1,0,0,2,1,IntAtiGloVis
14,1,1,1,2,1,0,1,1,IntRefSeqVer
15,0,1,2,1,0,1,1,2,IntAtiGloVer
16,0,0,1,4,2,0,0,2,SenRefSeqVer
17,2,0,4,2,2,0,1,2,SenAtiSeqVer
18,0,0,0,0,2,0,2,0,IntRefSeqVis
19,2,0,3,1,1,0,0,2,SenAtiSeqVer
20,0,1,2,4,0,0,0,2,IntRefGloVer
21,2,0,2,0,2,0,1,0,SenAtiSeqVis
22,1,0,0,4,0,0,1,1,SenRefSeqVis
23,0,1,4,2,1,1,2,0,IntAtiGloVis
24,0,0,0,3,0,1,0,2,SenRefGloVer
25,1,1,0,4,2,0,2,1,IntRefSeqVis
26,1,0,1,3,0,0,1,1,SenRefGloVer
27,0,1,3,1,1,1,0,1,IntAtiGloVer
28,2,0,4,0,1,0,2,1,SenAtiSeqVis
29,0,1,1,0,0,1,2,1,IntAtiGloVis
30,0,0,1,2,1,1,1,0,IntRefGloVis
31,1,1,3,0,0,1,1,2,IntAtiGloVer
32,1,0,1,0,0,0,0,0,SenAtiGloVer
33,1,1,2,3,1,0,1,2,IntRefSeqVer
34,1,0,2,4,1,1,1,1,SenRefGloVer
35,1,1,0,1,0,1,0,0,SenRefGloVis
36,1,1,3,1,1,1,2,1,SenAtiSeqVis
37,1,1,0,3,2,0,2,1,SenRefSeqVis
38,1,1,2,3,1,1,0,1,SenRefSeqVer
39,2,0,0,4,2,0,2,0,SenRefSeqVis
40,0,0,2,1,0,1,1,1,SenAtiGloVis
